District,URL,Name
"Congressional District 7 (116th Congress), Alabama",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/alabama/7/,AL-7
"Congressional District 5 (116th Congress), California",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/california/5/,CA-5
"Congressional District 4 (116th Congress), Colorado",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/colorado/4/,CO-4
"Congressional District 1 (116th Congress), Florida",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/florida/1/,FL-1
"Congressional District 9 (116th Congress), Georgia",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/georgia/9/,GA-9
"Congressional District 17 (116th Congress), Illinois",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/illinois/17/,IL-17
"Congressional District 4 (116th Congress), Indiana",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/indiana/4/,IN-4
"Congressional District 1 (116th Congress), Maine",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/maine/1/,ME-1
"Congressional District 2 (116th Congress), Maryland",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/maryland/2/,MD-2
"Congressional District 8 (116th Congress), Massachusetts",http://projects.fivethirtyeight.com/2018-midterm-election-forecast/house/massachusetts/8/,MA-8
